Iteration: 104; Percent complete: 2.6%; Average loss: 4.4342
Iteration: 105; Percent complete: 2.6%; Average loss: 4.4476
Iteration: 106; Percent complete: 2.6%; Average loss: 4.4329
Iteration: 107; Percent complete: 2.7%; Average loss: 4.4192
Iteration: 108; Percent complete: 2.7%; Average loss: 4.5058
Iteration: 109; Percent complete: 2.7%; Average loss: 4.2616
Iteration: 110; Percent complete: 2.8%; Average loss: 4.4015
Iteration: 111; Percent complete: 2.8%; Average loss: 4.4618
Iteration: 112; Percent complete: 2.8%; Average loss: 4.2959
Iteration: 113; Percent complete: 2.8%; Average loss: 4.2968
Iteration: 114; Percent complete: 2.9%; Average loss: 4.4277
Iteration: 115; Percent complete: 2.9%; Average loss: 4.3885
Iteration: 116; Percent complete: 2.9%; Average loss: 4.4712
Iteration: 117; Percent complete: 2.9%; Average loss: 4.3835
Iteration: 118; Percent complete: 2.9%; Average loss: 4.2716
Iteration: 119; Percent complete: 3.0%; Average loss: 4.2061
Iteration: 120; Percent complete: 3.0%; Average loss: 4.6278
Iteration: 121; Percent complete: 3.0%; Average loss: 4.4983
Iteration: 122; Percent complete: 3.0%; Average loss: 4.5544
Iteration: 123; Percent complete: 3.1%; Average loss: 4.4448
Iteration: 124; Percent complete: 3.1%; Average loss: 4.2790
Iteration: 125; Percent complete: 3.1%; Average loss: 4.3538
Iteration: 126; Percent complete: 3.1%; Average loss: 4.2800
Iteration: 127; Percent complete: 3.2%; Average loss: 4.4338
Iteration: 128; Percent complete: 3.2%; Average loss: 4.1511
Iteration: 129; Percent complete: 3.2%; Average loss: 4.5117
Iteration: 130; Percent complete: 3.2%; Average loss: 4.2049
Iteration: 131; Percent complete: 3.3%; Average loss: 4.3491
Iteration: 132; Percent complete: 3.3%; Average loss: 4.4965
Iteration: 133; Percent complete: 3.3%; Average loss: 4.2387
Iteration: 134; Percent complete: 3.4%; Average loss: 4.2722
Iteration: 135; Percent complete: 3.4%; Average loss: 4.5852
Iteration: 136; Percent complete: 3.4%; Average loss: 4.4937
Iteration: 137; Percent complete: 3.4%; Average loss: 4.2519
Iteration: 138; Percent complete: 3.5%; Average loss: 4.2343
Iteration: 139; Percent complete: 3.5%; Average loss: 4.6001
Iteration: 140; Percent complete: 3.5%; Average loss: 4.5221
Iteration: 141; Percent complete: 3.5%; Average loss: 4.2486
Iteration: 142; Percent complete: 3.5%; Average loss: 4.4462
Iteration: 143; Percent complete: 3.6%; Average loss: 4.4306
Iteration: 144; Percent complete: 3.6%; Average loss: 4.0946
Iteration: 145; Percent complete: 3.6%; Average loss: 4.3523
Iteration: 146; Percent complete: 3.6%; Average loss: 4.3236
